day,hour,min,doy,rg,ta,rh,ua,za,tsobs,vza,leobs,lai,glai,zf,rstmin,albedo,albv,xG,xx,xx1,rnobs,gobs,hobs,ratmobs,hpa
5,0,0,5,0,11.84,62.33,3.704,2.32,8.3903,0,-12.499,0.805658754,0.805658754,0.098496918,100,0.25,0.18,0.315,10.34,1.2506,-46.139,-7.0384,-26.602,288.88,1007
5,0,30,5.02,0,11.31,63.88,3.983,2.32,8.3984,0,-12.499,0.806463872,0.806463872,0.098572349,100,0.25,0.18,0.315,10.35,1.2506,-46.139,-7.0384,-26.602,287.71,1008
5,1,0,5.04,0,10.85,65.03,3.072,2.32,8.243,0,-12.499,0.807267958,0.807267958,0.098647829,100,0.25,0.18,0.315,10.35,1.2506,-46.139,-7.0384,-26.602,299.54,1007
5,1,30,5.06,0,11.95,60.77,5.796,2.32,9.4374,0,29.109,0.808071009,0.808071009,0.098723357,100,0.25,0.18,0.315,10.33,4.7123,-24.29,-10.671,-42.728,336.31,1008
5,2,0,5.08,0,12.34,59.46,5.774,2.32,10.341,0,22.512,0.80887302,0.80887302,0.098798933,100,0.25,0.18,0.315,10.35,4.077,-15.388,-10.389,-27.511,351.95,1008
5,2,30,5.1,0,12.6,58.88,5.018,2.32,10.472,0,-6.1713,0.809673989,0.809673989,0.098874558,100,0.25,0.18,0.315,10.34,17.816,-21.01,14.076,-28.915,345.43,1007
5,3,0,5.13,0,12.55,59.79,4.023,2.32,10.728,0,-11.294,0.810873479,0.810873479,0.098988085,100,0.25,0.18,0.315,10.34,15.201,-16.081,13.971,-18.758,352.34,1007
5,3,30,5.15,0,12.41,61.37,3.054,2.32,10.164,0,-18.628,0.811671826,0.811671826,0.099063831,100,0.25,0.18,0.315,10.4,5.6611,-34.679,8.3566,-24.408,330.66,1006
5,4,0,5.17,0,11.85,64.93,3.155,2.32,8.4022,0,-21.965,0.812469119,0.812469119,0.099139625,100,0.25,0.18,0.315,10.4,27.468,-69.047,8.1411,-55.223,276.14,1007
5,4,30,5.19,0,12.49,57.64,4.124,2.32,7.9817,0,7.1467,0.813265353,0.813265353,0.099215467,100,0.25,0.18,0.315,10.39,7.7806,-65.633,-22.948,-49.832,280.19,1006
